Unnamed: 0,adj_theme,words
0,Principled,"['accountable', 'ethical', 'moral', 'incorruptible', 'righteous', 'principled', 'honest', 'just', 'fair', 'honorable', 'decent', 'promise-keeping', 'responsible', 'dutiful', 'conscientious', 'law-abiding', 'lawful', 'transparent', 'value-driven', 'self-examining', 'upholding', 'respectful', 'impartial', 'equitable', 'constitutional', 'religious', 'meritocratic', 'civilized', 'credible', 'equal', 'truthful', 'virtuous']"
1,Capable,"['rational', 'reasonable', 'knowledgeable', 'achieving', 'enlightened', 'efficient', 'knowledge-seeking', 'ingenious', 'qualified', 'deliberative', 'successful', 'initiative-driven', 'abler', 'strategic', 'competent', 'informed', 'wise', 'intelligent', 'common-sense', 'industrious', 'hardworking', 'productive', 'visionary', 'pragmatic', 'practical', 'careful', 'prepared', 'conscious', 'watchful', 'vigilant', 'innovative', 'judicious', 'enterprising', 'prudent']"
2,Collaborative,"['common', 'global-minded', 'interdependent', 'collaborative', 'democratic', 'inclusive', 'pro-family', 'family-oriented', 'community-minded', 'federalist', 'public-spirited', 'reciprocal', 'cohesive', 'unified', 'united', 'neighborly', 'national', 'republican', 'global', 'diverse', 'unifying', 'representative', 'open']"
3,Compassionate,"['compassionate', 'empathetic', 'humane', 'unselfish', 'generous', 'benevolent', 'friendly', 'well-disposed', 'magnanimous', 'patient', 'supportive', 'helpful', 'affectionate', 'pro-life', 'life-affirming', 'welcoming', 'cordial', 'hospitable', 'self-sacrificing', 'humanitarian', 'service-oriented', 'forbearing']"
4,Resilient,"['firm', 'strong', 'tough', 'persistent', 'relentless', 'steadfast', 'enduring', 'resilient', 'stable', 'secure', 'protected', 'disciplined', 'resolute', 'powerful', 'vigorous', 'ordered', 'compliant', 'protective', 'resolved', 'orderly']"
5,Autonomous,"['self-governing', 'self-reliant', 'free', 'voluntary', 'independent', 'sovereign', 'liberty-loving', 'freedom-loving', 'self-respecting', 'freest']"
6,Dedicated,"['faithful', 'dependable', 'devoted', 'committed', 'allegiant', 'loyal', 'dedicated', 'patriotic', 'integral']"
7,Confident,"['confident', 'decisive', 'bold', 'assertive', 'valiant', 'determined', 'courageous', 'brave', 'ambitious', 'striving', 'victorious', 'action-oriented']"
8,Aspiring,"['optimistic', 'hopeful', 'aspirational', 'progressive', 'forward-looking', 'constructive', 'idealistic', 'prosperous', 'healthy', 'expansive', 'dynamic']"
9,Peaceful,"['peaceable', 'peace-seeking', 'neutral', 'tranquil', 'peace-loving', 'diplomatic', 'peaceful']"
10,Dignified,"['exceptional', 'indispensable', 'noble', 'distinctive', 'incredible', 'greatest', 'mightiest', 'respected', 'proud', 'dignified', 'authoritative', 'great', 'leading']"
